""
Smilacaceae
Ephedra
Cystopteris
Pulmonaria saccharata
Vicia orobus
Barbarea vulgaris
Cycadopsida
Stellaria
Juncus trifidus
Medicago falcata
Capsella bursa-pastoris
Sequoia sempervirens
Luronium natans
Brassica montana
Salix babylonica
Cynoglossum germanicum
Pulsatilla
Pedicularis ascendens
Serratula tinctoria
Nonea lutea
Vincetoxicum
Ornithopus perpusillus
Hyoseris
Chamorchis alpina
Lappula
Stachys recta
Carex sempervirens
Saxifraga pubescens
Matthiola tricuspidata
Phlomis herba-venti
Ophrys
Petroselinum
Leucanthemum monspeliense
Fuchsia magellanica
Vulpia ciliata
Betulaceae
Petasites albus
Primula acaulis
Reseda phyteuma
Viola reichenbachiana
Gymnadenia nigra
Medicago polymorpha
Sixalix atropurpurea
Platanthera bifolia
Apocynaceae
Poa compressa
Anacamptis papilionacea
Koelreuteria paniculata
Saxifraga fragilis
Cotinus coggygria
Horminum pyrenaicum
Paeonia
Ricinus communis
Euphorbia paralias
Genista pulchella
Helichrysum
Myosotis stricta
Epilobium alpestre
Saxifraga aspera
Sagina
Epilobium obscurum
Rapistrum
Crocus versicolor
Schlagintweitia intybacea
Verbascum boerhavii
Ononis reclinata
Salix glaucosericea
Juglandaceae
Secale cereale
Nymphaeaceae
Stellaria palustris
Trifolium alpestre
Telephium imperati
Thuja plicata
Verbascum phlomoides
Prunus lusitanica
Iberis sempervirens
Plantago maritima
Crepis pygmaea
Pinguicula lusitanica
Rosa gallica
Teucrium scorodonia
Carex arenaria
Alyssum
Lapsana
Arabis nova
Thesium pyrenaicum
Nigella hispanica
Jubaea chilensis
Saxifraga hypnoides
Cornaceae
Cucurbitaceae
Deschampsia
Heracleum
Fagopyrum esculentum
Libanotis
Helictotrichon pratense
Polygala calcarea
Rosa canina
Euphorbia portlandica
Noccaea rotundifolia
Petrosedum sediforme
Cynosurus cristatus
Salix
Salix triandra
Castanea sativa
Lycopodium annotinum
Primula latifolia
Medicago suffruticosa
Hornungia petraea
Leonurus cardiaca
Anemone baldensis
Rhododendron
Ophrys pseudoscolopax
Suaeda maritima
Avena fatua
Paronychia capitata
Ptychotis
Acer cappadocicum
Borago officinalis
Mentha cervina
Hornungia alpina
Ecballium elaterium
Genista scorpius
Sison
Carex capillaris
Orobanche picridis
Malvales
Equisetopsida
Cerastium
Cirsium filipendulum
Fritillaria meleagris
Vulpia myuros
Chenopodium chenopodioides
Eleocharis
Narcissus tazetta
Simaroubaceae
Solanales
Potamogeton coloratus
Ranunculus fluitans
Viola calcarata
Hyacinthoides
Roemeria hybrida
Centaurium maritimum
Galanthus
Cardamine amara
Lonicera caprifolium
Carex panicea
Pulmonaria officinalis
Veronica anagalloides
Honckenya
Crucianella angustifolia
Tagetes patula
Onobrychis supina
Mentha
Coronilla vaginalis
Medicago soleirolii
Bromus erectus
Cosmos
Rosa stylosa
Osmunda
Carduus tenuiflorus
Romulea ramiflora
Taraxacum dissectum
Quercus
Phragmites
Sempervivum
Potentilla valderia
Illecebrum
Arisarum
Primula hirsuta
Lysimachia nummularia
Hordelymus
Aira caryophyllea
Reseda glauca
Crambe
Brassicaceae
Lithodora fruticosa
Periploca
Pseudotsuga menziesii
Onobrychis
Pedicularis
Lotus cytisoides
Artemisia umbelliformis
Festuca eskia
Xanthium
Valeriana dioica
Erigeron sumatrensis
Adenostyles
Carthamus
Halimium halimifolium
Colutea arborescens
Weigela florida
Gentiana cruciata
Groenlandia
Eryngium campestre
Echinops
Galium anisophyllon
Liliopsida
Androsace
Parapholis
Argyrolobium
Crataegus azarolus
Onopordum illyricum
Onopordum tauricum
Phyteuma ovatum
Paulowniaceae
Caesalpinia
Beta
Ailanthus altissima
Rhinanthus mediterraneus
Carex laevigata
Cichorium
Linaria pelisseriana
Anthemis arvensis
Ficaria
Buglossoides incrassata
Erigeron annuus
Paronychia polygonifolia
Trifolium patens
Carlina acanthifolia
Erinus
Nigella arvensis
Cephalanthera longifolia
Opuntia ficus-indica
Delphinium consolida
Sedum anglicum
Ononis pusilla
Saxifraga geranioides
Aquilegia atrata
Posidonia oceanica
Allium roseum
Ononis rotundifolia
Saxifraga rotundifolia
Sabulina
Juncus squarrosus
Avena sterilis
Potamogeton lucens
Pulmonaria montana
Scilla verna
Hypericum perforatum
Utricularia vulgaris
Rhynchospora alba
Lens culinaris
Salix cinerea
Traunsteinera
Polygala serpyllifolia
Aira
Clinopodium acinos
Geranium argenteum
Euphorbia chamaesyce
Reseda luteola
Hippocrepis comosa
Genista corsica
Anthericum liliago
Thymus nitens
Blackstonia imperfoliata
Hesperis laciniata
Globularia vulgaris
Cyclamen purpurascens
Calepina irregularis
Cycadales
Avena barbata
Medicago hybrida
Lamium
Glandora prostrata
Asterolinon
Trifolium scabrum
Melica minuta
Ornithogalum umbellatum
Oenanthe
Spergularia salina
Ononis fruticosa
Matthiola sinuata
Androsace obtusifolia
Anthriscus
Sorghum halepense
Cosmos bipinnatus
Genista lobelii
Oxyria digyna
Solidago
Valeriana officinalis
Onopordum acanthium
Astragalus pelecinus
Fumana procumbens
Ornithogalum nutans
Isopyrum thalictroides
Sanguisorba minor
Turritis glabra
Ruscus aculeatus
Aira cupaniana
Xanthoselinum alsaticum
Empetrum nigrum
Zantedeschia
Pistacia lentiscus
Agave
Ulmus laevis
Myrrhis
Acer platanoides
Malva subovata
Trigonella foenum-graecum
Teesdalia nudicaulis
Iberis umbellata
Poaceae
Galium elongatum
Galium divaricatum
Cytisus striatus
Dryopteris
Linderniaceae
Trifolium alpinum
Bellis
Linaria supina
Pisum
Acacia
Convolvulus
Trifolium aureum
Droseraceae
Jasione laevis
Aquilegia
Asplenium onopteris
Aegonychon purpurocaeruleum
Juncaginaceae
Carex atrata
Juncus tenuis
Picris
Reseda
Helianthus
Senecio viscosus
Altingiaceae
Pilularia globulifera
Tripolium pannonicum
Bellidiastrum michelii
Bistorta
Mibora
Cherleria sedoides
Muscari botryoides
Sorbus torminalis
Impatiens capensis
Senecio cacaliaster
Origanum
Morus australis
Oreoherzogia alpina
Althaea cannabina
Sesleria caerulea
Ophrys bombyliflora
Trinia
Potamogeton natans
Pimpinella
Geum urbanum
Rhinanthus glacialis
Artemisia
Mentha aquatica
Acanthaceae
Erigeron uniflorus
Fallopia dumetorum
Nepeta nepetella
Centaurea corymbosa
Helosciadium
Polypodiaceae
Cytisus lotoides
Carex humilis
Carex olbiensis
Lathyrus sativus
Ophrys arachnitiformis
Tripodion tetraphyllum
Carex hispida
Luzula
Potentilla erecta
Veronica arvensis
Sideritis endressii
Trifolium ornithopodioides
Mentha pulegium
Diphasiastrum alpinum
Papaver somniferum
Coriaria myrtifolia
Buxales
Medicago scutellata
Nerium
Platanus orientalis
Artemisia verlotiorum
Melampyrum catalaunicum
Helianthemum alpestre
Pastinaca
Comastoma tenellum
Inula conyza
Scolymus hispanicus
Allium longispathum
Adonis annua
Cynoglossum montanum
Verbascum densiflorum
Festuca gigantea
Elodea canadensis
Medicago arborea
Medicago doliata
Colutea
Epipactis muelleri
Digitalis purpurea
Androsace helvetica
Aquilegia pyrenaica
Populus alba
Cytisus hirsutus
Teucrium aureum
Prunus dulcis
Serapias lingua
Ginkgoaceae
Leersia oryzoides
Quercus petraea
Ocimum
Orobanche minor
Lathyrus venetus
Lunaria
Fumaria densiflora
Glyceria notata
Bromus inermis
Prunus padus
Pedicularis gyroflexa
Lonicera
Rhus
Carthamus mitissimus
Draba tomentosa
Asterales
Potentilla caulescens
Dipsacus
Anthoxanthum aristatum
Campanula latifolia
Aster amellus
Echinochloa
Tordylium
Salvia microphylla
Calamagrostis
Ostrya
Viola cenisia
Blitum
Adonis aestivalis
Carex echinata
Polemoniaceae
Lonicera etrusca
Dianthus sylvestris
Cressa cretica
Allium sphaerocephalon
Ulex gallii
Tripleurospermum inodorum
Stachys arvensis
Trifolium hirtum
Lotus pedunculatus
Polystichum
Senecio pyrenaicus
Araliaceae
Saxifraga tridactylites
Parapholis incurva
Orobanche laserpitii-sileris
Gastridium ventricosum
Lolium multiflorum
Oxalis corniculata
Salix purpurea
Colchicum bulbocodium
Vicia hybrida
Phyteuma
Betula utilis
Potentilla reptans
Euphorbia dulcis
Saxifraga paniculata
Festuca arvernensis
Lycopodiopsida
Calendula
Serapias parviflora
Carpinus
Halimium
Taraxacum officinale
Chrysopogon
Gomphocarpus
Salpichroa
Anacardiaceae
Hyssopus officinalis
Neslia paniculata
Ranunculus glacialis
Rhaponticum coniferum
Satureja
Rhus typhina
Nigella damascena
Lathyrus sylvestris
Equisetum hyemale
Anchusa azurea
Anemone apennina
Lepidium latifolium
Juncus acutus
Melilotus sulcatus
Scrophularia scorodonia
Narcissus gigas
Veronica praecox
Anthemis triumfetti
Aubrieta deltoidea
Rhinanthus minor
Bothriochloa saccharoides
Malpighiales
Clematis alpina
Porophyllum ruderale
Reichardia
Leontodon hispidus
Lavandula latifolia
Campanula poscharskyana
Xeranthemum inapertum
Kalmia procumbens
Montia
Lamium purpureum
Astragalus glycyphyllos
Diervillaceae
Athamanta cretensis
Oreopteris limbosperma
Colchicum alpinum
Saxifragales
Pastinaca sativa
Potentilla cinerea
Saxifraga pedemontana
Oxytropis pilosa
Neatostema apulum
Isoetes
Grossulariaceae
Acer negundo
Fumana thymifolia
Carex flacca
Carex distans
Sinapis
Brimeura
Quercus coccifera
Parthenocissus vitacea
Sorbus domestica
Jasminum
Trifolium thalii
Jacobaea leucophylla
Hydrocharis
Cryptogramma
Hepatica
Ranunculus montanus
Asperula arvensis
Phillyrea latifolia
Oenothera speciosa
Malcolmia
Alnus incana
Eupatorium cannabinum
Cytisophyllum sessilifolium
Rumex
Coronilla minima
Catalpa bignonioides
Molopospermum peloponnesiacum
Adonis
Campanula portenschlagiana
Bromus commutatus
Oenanthe pimpinelloides
Paspalum dilatatum
Coincya monensis
Phleum pratense
Spirodela polyrhiza
Blechnum
Scrophularia lucida
Pinguicula longifolia
Aconitum lycoctonum
Glycyrrhiza
Lactuca muralis
Gagea lacaitae
Mirabilis jalapa
Allium rotundum
Coleostephus
Coris
Atocion rupestre
Klasea nudicaulis
Crepis
Hypericum montanum
Tragopogon crocifolius
Linum leonii
Prospero autumnale
Centaurea pectinata
Phalaris paradoxa
Thymus dolomiticus
Primula
Tyrimnus leucographus
Phyteuma globulariifolium
Triticum aestivum
Doronicum clusii
Myriophyllum verticillatum
Wisteria sinensis
Smyrnium olusatrum
Centaurium erythraea
Schoenus
Juncus tenageia
Myosotis nemorosa
Luzula luzuloides
Smyrnium perfoliatum
Silene noctiflora
Neatostema
Fumana ericoides
Gomphocarpus fruticosus
Sedum album
Pseudorchis
Medicago monspeliaca
Cirsium monspessulanum
Daboecia
Poa bulbosa
Chrysanthemum vulgare
Taxodium distichum
Morus
Stachys alpina
Hypochaeris radicata
Valeriana tuberosa
Ornithogalum orthophyllum
Bidens
Chamaerops humilis
Scutellaria minor
Trifolium tomentosum
Centaurea paniculata
Plantago weldenii
Phalaris arundinacea
Taraxacum obovatum
Silene sericea
Anagallis minima
Epilobium ciliatum
Homogyne alpina
Sibthorpia
Alliaria petiolata
Diplotaxis muralis
Aegonychon
Solanum dulcamara
Pinus strobus
Cornus
Gnaphalium sylvaticum
Pterocarya
Sempervivum tectorum
Festuca rubra
Osmundales
Euphorbia taurinensis
Cytinus hypocistis
Cedrus libani
Xanthorrhoeaceae
Vicia pannonica
Lathyrus odoratus
Aurinia saxatilis
Scorzonera austriaca
Garryaceae
Cyclamen hederifolium
Artemisia annua
Stachys sylvatica
Maianthemum
Rosmarinus
Carex lepidocarpa
Verbascum blattaria
Galium pumilum
Campanula macrorhiza
Juncus jacquinii
Garryales
Euphorbia falcata
Isatis tinctoria
Senecio angulatus
Jacobaea incana
Rubus martrinii
Dianthus deltoides
Orobanche hederae
Blackstonia acuminata
Cladanthus mixtus
Teucrium fruticans
Perovskia
Thapsia villosa
Psammophiliella
Umbilicus horizontalis
Rhagadiolus stellatus
Serratula
Teucrium flavum
Ribes sanguineum
Blechnaceae
Parthenocissus
Valeriana tripteris
Isoetes duriei
Samolus
Suaeda
Amaranthaceae
Chaerophyllum hirsutum
Urtica membranacea
Paraserianthes lophantha
Klasea
Anthoxanthum odoratum
Carex pilulifera
Tragopogon pratensis
Hypericum nummularium
Myrtus communis
Glaux maritima
Lathyrus hirsutus
Adoxa
Equisetum variegatum
Commelinales
Armeria
Rhamnaceae
Medicago lupulina
Gnaphalium hoppeanum
Butomaceae
Proteales
Luzula campestris
Cynara scolymus
Achnatherum
Lathyrus cirrhosus
Lolium temulentum
Pallenis
Ligularia
Datura stramonium
Oxytropis
Carex nigra
Filago
Teucrium lucidum
Olea europaea
Orobanche gracilis
Myrtaceae
Salix caesia
Oenanthe lachenalii
Potentilla crantzii
Rorippa pyrenaica
Pallenis spinosa
Ononis cristata
Muscari
Luzula pediformis
Linum narbonense
Lactuca
Centaurea hanryi
Camphorosma monspeliaca
Luzula lutea
Smilax aspera
Epilobium tetragonum
Cleistogenes
Fumana laevis
Tropaeolum
Scleranthus annuus
Sisymbrium officinale
Podospermum
Narcissus papyraceus
Iberis linifolia
Carex distachya
Campanula patula
Knautia mollis
Centaurea benedicta
Kernera saxatilis
Petrocallis
Vicia hirsuta
Corylus colurna
Asphodelus ayardii
Anemone pavonina
Globularia punctata
Crocus sativus
Apium graveolens
Acer campestre
Picea
Odontites vulgaris
Pulmonaria longifolia
Lappula squarrosa
Saponaria ocymoides
Ilex
Sisyrinchium rosulatum
Rosaceae
Vicia monantha
Lactuca sativa
Viola palustris
Vinca minor
Cucurbitales
Achillea millefolium
Astragalus danicus
Erica
Hypericum dubium
Prunella grandiflora
Phagnalon
Salix pyrenaica
Polemonium caeruleum
Mespilus germanica
Phytolacca americana
Reynoutria sachalinensis
Umbilicus
Silene otites
Sonchus asper
Hypericum australe
Crepis micrantha
Hippocrepis biflora
Allium
Phleum arenarium
Vicia altissima
Clematis flammula
Bupleurum baldense
Dipsacaceae
Primula auricula
Centaurea
Salsola soda
Oxalis debilis
Xanthium spinosum
Ophrys fuciflora
Hypochaeris
Spiranthes spiralis
Chamaecyparis lawsoniana
Carex halleriana
Biscutella laevigata
Coleostephus myconis
Parthenocissus tricuspidata
Arabis
Osmanthus heterophyllus
Pedicularis rostratospicata
Hydrocharis morsus-ranae
Juglans nigra
Equisetum fluviatile
Leymus arenarius
Carex leersii
Yucca
Bromus squarrosus
Catananche caerulea
Lotus alpinus
Cirsium dissectum
Sedum hirsutum
Alnus glutinosa
Phaseolus coccineus
Atriplex portulacoides
Betula pendula
Matthiola
Luzula forsteri
Euphorbia terracina
Stellaria graminea
Crepis suffreniana
Alyssum alpestre
Anacamptis
Glyceria
Verbascum lychnitis
Sesbania punicea
Scorpiurus
Bunium bulbocastanum
Dracunculus
Phyteuma betonicifolium
Scandix
Berberis aquifolium
Leucojum
Fritillaria montana
Umbilicus rupestris
Solanum tuberosum
Lythrum salicaria
Ranunculales
Fraxinus ornus
Teucrium marum
Linum
Torilis japonica
Plantago atrata
Trichophorum alpinum
Plantaginaceae
Lilium
Carex otrubae
Leucanthemum maximum
Allium pallens
Ononis pubescens
Centaurea leucophaea
Cupressus arizonica
Cotula coronopifolia
Rubus andegavensis
Osmanthus
Pseudognaphalium
Pulmonaria affinis
Euphorbia seguieriana
Staehelina
Symphytum
Globularia
Alchemilla glabra
Crepis sancta
Phalaris aquatica
Cytisus sauzeanus
Carex bicolor
Juncus capitatus
Hypecoum procumbens
Polygaloides
Lysimachia punctata
Sideritis hyssopifolia
Viola canina
Phacelia tanacetifolia
Lilium bulbiferum
Fumaria officinalis
Trichophorum cespitosum
Osyris alba
Pinguicula vulgaris
Silene flos-jovis
Festuca arundinacea
Melica uniflora
Valerianella eriocarpa
Echinaria capitata
Sisymbrium orientale
Tephroseris helenitis
Fritillaria tubiformis
Carex lasiocarpa
Sapindaceae
Lathyrus nissolia
Vincetoxicum nigrum
Heliotropium curassavicum
Valeriana globulariifolia
Sagina subulata
Euonymus europaeus
Arctium
Isoetales
Acanthus
Mercurialis tomentosa
Atropa
Sternbergia lutea
Eranthis hyemalis
Echium plantagineum
Agrostis capillaris
Gagea
Trifolium stellatum
Suaeda vera
Schlagintweitia
Vicia sylvatica
Gratiola
Dryopteris carthusiana
Phillyrea
Calamagrostis varia
Anthyllis vulneraria
Melampyrum arvense
Stachys pradica
Campanula
Fumaria
Gentiana asclepiadea
Ambrosia
Sabulina tenuifolia
Paradisea
Cerastium semidecandrum
Baccharis halimifolia
Verbena officinalis
Aristolochia clematitis
Veronica officinalis
Micropyrum tenellum
Ajuga reptans
Cistus
Cistus salviifolius
Isoetes histrix
Inula spiraeifolia
Malva moschata
Rosa
Allium ericetorum
Linum grandiflorum
Colchicum
Vinca major
Odontites vernus
Lonicera implexa
Apiaceae
Vaccinium
Odontites
Foeniculum
Ranunculus aquatilis
Reichardia picroides
Coronilla coronata
Euphrasia salisburgensis
Veronica aphylla
Chamorchis
Pennisetum villosum
Drosera
Ranunculus sardous
Galeopsis tetrahit
Stellaria montana
Ammophila
Berteroa incana
Dorycnium
Centaurea uniflora
Sisymbrium irio
Taraxacum navarrense
Physalis peruviana
Melissa officinalis
Scrophularia canina
Echinospartum horridum
Veronica beccabunga
Lotus maritimus
Geranium pusillum
Veronica ponae
Chamaecyparis
Plantago bellardii
Barbarea verna
Euphorbia sulcata
Dryopteridaceae
Saxifraga cebennensis
Urtica urens
Dryopteris borreri
Polypogon
Equisetum arvense
Tolpis barbata
Orchis
Galium odoratum
Vitex agnus-castus
Rhynchospora fusca
Pentaglottis sempervirens
Campsis radicans
Erigeron atticus
Myriophyllum aquaticum
Vicia tenuifolia
Potentilla verna
Myosoton
Iris lutescens
Sonchus tenerrimus
Cuscuta pentagona
Veronica cymbalaria
Alopecurus aequalis
Gymnadenia corneliana
Laportea aestuans
Acer pseudoplatanus
Trocdaris verticillatum
Tropaeolum majus
Arctostaphylos
Setaria
Campanula rapunculoides
Melilotus indicus
Trifolium spadiceum
Ranunculus gouanii
Crepis pyrenaica
Angelica razulii
Polypodium cambricum
Buxaceae
Chrysanthemum
Maianthemum bifolium
Cornus alba
Himantoglossum
Elaeagnus angustifolia
Prunus serotina
Tripleurospermum maritimum
Hypericum richeri
Saxifraga aquatica
Silene acaulis
Brachypodium retusum
Coris monspeliensis
Phlomis
Laserpitium siler
Noccaea
Bromus ramosus
Pterocarya pterocarpa
Selaginella denticulata
Viola lactea
Calystegia
Silene baccifera
Ophrys scolopax
Melilotus
Gentianopsis
Ipomoea
Crucianella
Lomelosia graminifolia
Trifolium alexandrinum
Gagea lutea
Galium glaucum
Papaver aurantiacum
Taraxacum erythrospermum
Digitalis grandiflora
Anacyclus
Euphorbia pithyusa
Onobrychis montana
Dianthus pavonius
Radiola
Aubrieta
Linaria
Thymus vulgaris
Dactylorhiza elata
Ranunculus bulbosus
Silene exscapa
Pentaglottis
Tanacetum corymbosum
Vicia lutea
Bombycilaena erecta
Capparis spinosa
Globularia cordifolia
Polypogon monspeliensis
Microthlaspi perfoliatum
Ajuga genevensis
Salix appendiculata
Euphorbia duvalii
Alchemilla glaucescens
Digitaria sanguinalis
Geranium purpureum
Cynodon dactylon
Streptopus amplexifolius
Galatella
Selinum carvifolia
Juniperus communis
Eragrostis
Euphorbia polygonifolia
Lemna minor
Valerianella locusta
Lamium galeobdolon
Chaerophyllum
Atriplex laciniata
Kali soda
Humulus lupulus
Elymus
Ononis striata
Mesembryanthemum cordifolium
Sideritis hirsuta
Lonicera nigra
Neotinea lactea
Achnatherum calamagrostis
Jasione maritima
Carex parviflora
Limonium girardianum
Rubus macrophyllus
Berula erecta
Trifolium subterraneum
Ginkgo
Corynephorus
Pseudoturritis
Haloragaceae
Glaux
Sagina apetala
Cota altissima
Polygala vulgaris
Lathraea clandestina
Panicum dichotomiflorum
Muscari armeniacum
Pulsatilla rubra
Tofieldiaceae
Arbutus
Hieracium amplexicaule
Thalictrum flavum
Cerastium diffusum
Sedum ochroleucum
Salix caprea
Descurainia tanacetifolia
Soldanella
Dryopteris affinis
Lamium maculatum
Erodium cicutarium
Phleum
Baldellia ranunculoides
Linum alpinum
Hypericaceae
Pinus nigra
Lunaria annua
Sibbaldia
Adonis flammea
Iris latifolia
Melilotus neapolitanus
Cynoglossum creticum
Gagea serotina
Jasione
Papaver argemone
Minuartia mutabilis
Santolina
Astragalus sempervirens
Adoxaceae
Coriaria
Selaginellaceae
Hieracium murorum
Myosotis ramosissima
Paliurus spina-christi
Sideritis
Setaria viridis
Berberis
Santalales
Hypericum
Melilotus albus
Carex ornithopoda
Trigonella esculenta
Hedysarum
Cytisus oromediterraneus
Carduus cephalanthus
Brachypodium pinnatum
Chondrilla juncea
Zea mays
Goodyera repens
Inula bifrons
Fourraea alpina
Papaver hybridum
Rubia tinctorum
Euphorbia characias
Convolvulus althaeoides
Draba dubia
Convolvulus sepium
Reseda alba
Sequoia
Ceratonia
Hypericum linariifolium
Juncus effusus
Psilurus incurvus
Eucalyptus
Plantago crassifolia
Primula marginata
Glechoma
Astragalus echinatus
Arabis verna
Prunus armeniaca
Iris foetidissima
Prunella hyssopifolia
Eleocharis palustris
Atocion armeria
Pyrus spinosa
Lobelia
Stellaria alsine
Gentianaceae
Melilotus altissimus
Pilosella officinarum
Stellaria holostea
Lathyrus ochrus
Lactuca plumieri
Pancratium
Anchusa officinalis
Anacamptis coriophora
Cycadaceae
Lathyrus sphaericus
Murbeckiella pinnatifida
Erinus alpinus
Bupleurum angulosum
Tragopogon dubius
Carpobrotus
Plantago alpina
Pimpinella tragium
Apera
Ophioglossum
Pedicularis kerneri
Parietaria officinalis
Ammi majus
Cannabaceae
Sanguisorba officinalis
Carex muricata
Saxifraga muscoides
Melia
Scrophulariaceae
Limoniastrum monopetalum
Erica ciliaris
Rubus multifidus
Baccharis
Thesium
Stachys annua
Galium timeroyi
Actinidia
Colchicum montanum
Thinopyrum
Juniperus oxycedrus
Jacobaea adonidifolia
Carthamus carduncellus
Acer palmatum
Plantago major
Petrorhagia saxifraga
Oxytropis lapponica
Achillea maritima
Arenaria hispida
Leopoldia
Quercus pubescens
Lepidium campestre
Berardia
Mantisalca salmantica
Jasione montana
Ononis minutissima
Senecio inaequidens
Dactylorhiza majalis
Sempervivum calcareum
Medicago praecox
Orchis provincialis
Cistus ladanifer
Stachys officinalis
Gentiana bavarica
Vicia pubescens
Oxytropis halleri
Ophrys araneola
Glyceria maxima
Galium parisiense
Lemna
Genista germanica
Parentucellia
Inula helenium
Bistorta officinalis
Zantedeschia aethiopica
Mespilus
Scilla
Asparagales
Fragaria moschata
Ranunculus parviflorus
Ranunculus thora
Neottia cordata
Rhamnus
Erodium botrys
Primula veris
Dianthus
Metasequoia glyptostroboides
Lupinus gussoneanus
Ophrys insectifera
Sonchus oleraceus
Nassella
Allium schoenoprasum
Diplotaxis viminea
Ulex parviflorus
Ranunculus monspeliacus
Symphytum officinale
Albizia julibrissin
Cerastium glutinosum
Ludwigia grandiflora
Lobelia urens
Iris spuria
Bryonia dioica
Polygonum oxyspermum
Chrysosplenium oppositifolium
Tephroseris integrifolia
Rubus nemophilus
Ophrys aranifera
Convolvulus arvensis
Helleborus
Osmundaceae
Punica granatum
Helichrysum italicum
Cistus crispus
Petrorhagia dubia
Carduus acanthoides
Orthilia secunda
Castanea
Thymus praecox
Hypericum maculatum
Turgenia latifolia
Coronilla juncea
Coronilla scorpioides
Frankenia laevis
Oenothera glazioviana
Hemerocallis fulva
Spiranthes
Himantoglossum robertianum
Cirsium palustre
Crambe maritima
Arenaria serpyllifolia
Oenothera suaveolens
Scleranthus polycarpos
Gnaphalium americanum
Vulpia bromoides
Limonium vulgare
Helianthus tuberosus
Oxalis articulata
Hypericum tomentosum
Hepatica nobilis
Neotinea
Geranium sanguineum
Cirsium eriophorum
Geranium nodosum
Pulsatilla vernalis
Gentiana alpina
Marsileaceae
Anemone blanda
Araujia sericifera
Callitriche brutia
Carex curvula
Persicaria amphibia
Clematis viticella
Bromus
Hieracium maculatum
Inula britannica
Verbascum virgatum
Nardus
Dactylorhiza sambucina
Viscaria vulgaris
Ammi
Tropaeolaceae
Senecio lividus
Anthyllis cytisoides
Spiraea
Stipa papposa
Sinapis alba
Campanula persicifolia
Athamanta
Festuca paniculata
Lupinus micranthus
Melampyrum pratense
Aphanes arvensis
Draba
Carduus crispus
Asplenium viride
Platycapnos spicata
Styphnolobium japonicum
Arctium lappa
Selaginella selaginoides
Thelypteris
Mentha arvensis
Vicia lathyroides
Plantago uliginosa
Salix retusa
Lithospermum officinale
Polygonaceae
Viola
Vaccinium uliginosum
Galium aristatum
Imperatoria ostruthium
Onosma fastigiata
Melilotus italicus
Hippocrepis scorpioides
Trachelospermum
Euphrasia officinalis
Brimeura fastigiata
Trachycarpus
Dianthus caryophyllus
Genista monspessulana
Anacamptis laxiflora
Diphasiastrum
Thinopyrum junceum
Elodea
Gentiana brachyphylla
Asperula aristata
Nonea
Scorzoneroides autumnalis
Viscaria
Asparagus officinalis
Montiaceae
Achnatherum miliaceum
Trachelospermum jasminoides
Rubus imbricatus
Pimpinella major
Pilosella aurantiaca
Omphalodes littoralis
Myrrhis odorata
Bonjeanea
Hydrocotyle vulgaris
Dryopteris cambrensis
Scorzoneroides montana
Crepis vesicaria
Saxifraga oppositifolia
Epipactis helleborine
Smyrnium
Conium maculatum
Dactylorhiza fuchsii
Diospyros
Dracunculus vulgaris
Amaranthus deflexus
Galium mollugo
Phleum alpinum
Leucanthemum graminifolium
Sorbus mougeotii
Arabis hirsuta
Epilobium lanceolatum
Chrysosplenium
Galium aparinella
Saxifraga androsacea
Arabidopsis arenosa
Blitum bonus-henricus
Asphodelus
Pyrus cordata
Koeleria pyramidata
Bupleurum praealtum
Stipa
Limonium binervosum
Glycyrrhiza glabra
Luzula alpinopilosa
Rosa pendulina
Alismatales
Ajuga iva
Conopodium majus
Potentilla nitida
Arrhenatherum
Cuscuta europaea
Lathyrus pratensis
Festuca quadriflora
Vicia disperma
Erica cinerea
Neotinea tridentata
Trollius
Anemone ranunculoides
Medicago secundiflora
Tulipa
Eleusine tristachya
Gladiolus illyricus
Milium
Lamium album
Juncus bulbosus
Salvia aethiopis
Fumaria vaillantii
Hypericum calycinum
Salix elaeagnos
Luzula congesta
Liliaceae
Arrhenatherum elatius
Onobrychis saxatilis
Arabis soyeri
Carex liparocarpos
Chrysopogon gryllus
Vulpia unilateralis
Succisa pratensis
Magnolia
Abutilon
Lonicera xylosteum
Hedypnois rhagadioloides
Nigella
Chaerophyllum temulum
Malva arborea
Petrosedum forsterianum
Collomia
Thymelaea dioica
Spergula pentandra
Sideritis fruticulosa
Commelina
Polygonum aviculare
Magnoliopsida
Asperula
Jacobaea
Paulownia
Prunus domestica
Stipa capillata
Astragalus glaux
Epipactis leptochila
Cydonia oblonga
Bromus diandrus
Berardia lanuginosa
Heracleum sibiricum
Ecballium
Acca
Achillea filipendulina
Achillea erba-rota
Prunus laurocerasus
Plantago afra
Carex praecox
Sparganium emersum
Cephalanthera
Calicotome spinosa
Galium saxatile
Commelinaceae
Marrubium vulgare
Wisteria
Geranium dissectum
Pedicularis tuberosa
Cephalaria alpina
Sagittaria
Carex disticha
Parentucellia viscosa
Sedum rupestre
Tamarix africana
Geranium
Silene
Astragalus alopecurus
Myrica
Typha
Lysimachia nemorum
Deschampsia flexuosa
Dioscoreales
Sparganium angustifolium
Citrus
Ranunculus muricatus
Limoniastrum
Aster subulatus
Helosciadium nodiflorum
Papaver setigerum
Epilobium angustifolium
Narcissus pseudonarcissus
Aurinia
Medicago
Helianthus annuus
Stachys palustris
Teucrium
Euphorbia maculata
Botrychium lunaria
Asphodelus albus
Aspilia
Torilis africana
Sporobolus pungens
Opuntia
Capsicum
Neslia
